=== INFORME DE SANITIZACIÓN DE BASE DE DATOS ===
[Tabla_Verdad_Estudiantes.nombre_de_la_institucion_educativa_actual] Reemplazado '├ô' por 'Ó' -> 21 filas actualizadas.
[Tabla_Verdad_Estudiantes.nombre_de_la_institucion_educativa_actual] Reemplazado '├£' por 'Ü' -> 11 filas actualizadas.
[Tabla_Verdad_Estudiantes.nombre_de_la_institucion_educativa_actual] Reemplazado '├Ü' por 'Ú' -> 2 filas actualizadas.
[Tabla_Verdad_Estudiantes.nombre_de_la_eps_o_medicina_prepagada] Reemplazado '├ì' por 'Í' -> 7 filas actualizadas.
[Tabla_Verdad_Estudiantes.nombre_de_la_eps_o_medicina_prepagada] Reemplazado '├æ' por 'Ñ' -> 1 filas actualizadas.
[Tabla_Verdad_Estudiantes.nombre_de_la_eps_o_medicina_prepagada] Reemplazado '├ü' por 'Á' -> 3 filas actualizadas.
[Tabla_Verdad_Estudiantes.nombre_de_la_eps_o_medicina_prepagada] Reemplazado '├ë' por 'É' -> 8 filas actualizadas.
[Tabla_Verdad_Estudiantes.nombre_de_la_eps_o_medicina_prepagada] Reemplazado '├ô' por 'Ó' -> 2 filas actualizadas.
[Tabla_Verdad_Estudiantes.nombre_de_la_eps_o_medicina_prepagada] Reemplazado '├Ü' por 'Ú' -> 1 filas actualizadas.
[Tabla_Verdad_Estudiantes.programas_de_iniciacion_musical] Reemplazado '├¡' por 'í' -> 5 filas actualizadas.
[Tabla_Verdad_Estudiantes.programas_de_iniciacion_musical] Reemplazado '├│' por 'ó' -> 1291 filas actualizadas.
[Tabla_Verdad_Estudiantes.programas_de_iniciacion_musical] Reemplazado '├í' por 'á' -> 2 filas actualizadas.
[Tabla_Verdad_Estudiantes.programas_de_iniciacion_musical] Reemplazado '├ì' por 'Í' -> 1 filas actualizadas.
[Tabla_Verdad_Estudiantes.programas_de_iniciacion_musical] Reemplazado '├®' por 'é' -> 5 filas actualizadas.
[Tabla_Verdad_Estudiantes.programas_de_iniciacion_musical] Reemplazado '├▒' por 'ñ' -> 6 filas actualizadas.
[Tabla_Verdad_Estudiantes.programas_de_iniciacion_musical] Reemplazado '├║' por 'ú' -> 3 filas actualizadas.
[Tabla_Verdad_Estudiantes.programa_o_curso] Reemplazado '├¡' por 'í' -> 2 filas actualizadas.
[Tabla_Verdad_Estudiantes.programa_o_curso] Reemplazado '├│' por 'ó' -> 6 filas actualizadas.
[Tabla_Verdad_Estudiantes.programa_o_curso] Reemplazado '├í' por 'á' -> 14 filas actualizadas.
[Tabla_Verdad_Estudiantes.programa_o_curso] Reemplazado '├▒' por 'ñ' -> 1 filas actualizadas.
[Tabla_Verdad_Estudiantes.programa_o_curso] Reemplazado '├ô' por 'Ó' -> 1 filas actualizadas.
[Tabla_Verdad_Estudiantes.programa_o_curso] Reemplazado '├║' por 'ú' -> 4618 filas actualizadas.
[Tabla_Verdad_Estudiantes.programa_que_va_a_estudiar_ahora] Reemplazado '├│' por 'ó' -> 3378 filas actualizadas.
[Tabla_Verdad_Estudiantes.sede_donde_tomara_las_clases] Reemplazado '┬║' por 'º' -> 11193 filas actualizadas.
[Tabla_Verdad_Estudiantes.dia_que_prefiere_para_sus_clases_los_lunes_la_escuela_no_opera] Reemplazado '├í' por 'á' -> 8812 filas actualizadas.
[Tabla_Verdad_Estudiantes.dia_que_prefiere_para_sus_clases_los_lunes_la_escuela_no_opera] Reemplazado '├®' por 'é' -> 4598 filas actualizadas.
[Tabla_Verdad_Estudiantes.franja_horaria_preferida] Reemplazado '├▒' por 'ñ' -> 4141 filas actualizadas.
[Tabla_Verdad_Estudiantes.horario_sugerido] Reemplazado '├¡' por 'í' -> 5 filas actualizadas.
[Tabla_Verdad_Estudiantes.horario_sugerido] Reemplazado '├│' por 'ó' -> 4 filas actualizadas.
[Tabla_Verdad_Estudiantes.horario_sugerido] Reemplazado '├í' por 'á' -> 10 filas actualizadas.
[Tabla_Verdad_Estudiantes.horario_sugerido] Reemplazado '├®' por 'é' -> 10 filas actualizadas.
[Tabla_Verdad_Estudiantes.horario_sugerido] Reemplazado '├▒' por 'ñ' -> 537 filas actualizadas.
[Tabla_Verdad_Estudiantes.horario_sugerido] Reemplazado '├ô' por 'Ó' -> 1 filas actualizadas.
